sample,replicate,pasture,invasion,soil.treatment,guinea.grass.seedling.week.1,guinea.grass.height.12.4.20.cm,guinea.grass.root.length.cm,shoot.weight.g,root.weight.g,culm.count,guinea.grass.seedling.total,log.guinea.grass.seedling.total,growth.rate.overall,log.growth.rate.overall
ESI.MS1,1,el.salto,Invaded,MSS,0,26.035,5.715,0.08,0,1,2,0.693147181,0.268402062,-1.315269192
ESI.MS2,2,el.salto,Invaded,MSS,0,20.32,12.3825,0,0,1,2,0.693147181,0.209484536,-1.563105356
ESI.MS3,3,el.salto,Invaded,MSS,2,40.005,15.5575,0.43,0.07,1,7,1.945910149,0.41242268,-0.885706532
ESI.MS4,4,el.salto,Invaded,MSS,2,50.8,12.7,0.56,0.07,1,23,3.135494216,0.52371134,-0.646814624
ESI.MS5,5,el.salto,Invaded,MSS,3,59.055,17.145,0.82,0.12,1,12,2.48490665,0.608814433,-0.496241765
ESI.IS1,1,el.salto,Invaded,ISS,0,24.4475,8.5725,0.05,0,1,3,1.098612289,0.252036082,-1.378183017
ESI.IS2,2,el.salto,Invaded,ISS,0,38.735,11.43,0.17,0,1,1,0,0.399329897,-0.917967394
ESI.IS3,3,el.salto,Invaded,ISS,2,52.07,23.8125,0.77,0.15,1,18,2.890371758,0.536804124,-0.622122011
ESI.IS4,4,el.salto,Invaded,ISS,1,43.18,14.2875,0.43,0.09,1,5,1.609437912,0.445154639,-0.809333553
ESI.IS5,5,el.salto,Invaded,ISS,0,17.145,14.2875,0,0,1,2,0.693147181,0.176752577,-1.733004393
NCI.MS1,1,north.cuates,Invaded,MSS,0,20.32,7.9375,0,0,1,28,3.33220451,0.209484536,-1.563105356
NCI.MS2,2,north.cuates,Invaded,MSS,5,61.595,18.0975,1.21,0.16,3,23,3.135494216,0.635,-0.45413028
NCI.MS3,3,north.cuates,Invaded,MSS,13,60.325,15.24,0.81,0.11,1,34,3.526360525,0.621907216,-0.474964367
NCI.MS4,4,north.cuates,Invaded,MSS,4,67.31,10.795,1.28,0.11,2,37,3.610917913,0.693917526,-0.365402164
NCI.MS5,5,north.cuates,Invaded,MSS,11,60.0075,16.8275,0.69,0.02,1,25,3.218875825,0.618634021,-0.480241424
NCI.IS1,1,north.cuates,Invaded,ISS,16,49.53,16.8275,0.51,0.08,1,17,2.833213344,0.510618557,-0.672132432
NCI.IS2,2,north.cuates,Invaded,ISS,11,53.34,13.6525,0.57,0.08,1,50,3.912023005,0.549896907,-0.59802446
NCI.IS3,3,north.cuates,Invaded,ISS,2,42.545,13.97,0.44,0.06,1,31,3.433987204,0.438608247,-0.824148639
NCI.IS4,4,north.cuates,Invaded,ISS,0,20.6375,9.2075,0,0,1,17,2.833213344,0.212757732,-1.547601169
NCI.IS5,5,north.cuates,Invaded,ISS,4,38.1,13.97,0.31,0,1,30,3.401197382,0.392783505,-0.934496696
FI.MS1,1,finner,Invaded,MSS,11,31.115,7.62,0.16,0.08,1,37,3.610917913,0.320773196,-1.13702096
FI.MS2,2,finner,Invaded,MSS,4,48.26,18.7325,0.61,0.13,1,23,3.135494216,0.497525773,-0.698107918
FI.MS3,3,finner,Invaded,MSS,2,65.405,17.4625,1.28,0.27,1,13,2.564949357,0.674278351,-0.39411227
FI.MS4,4,finner,Invaded,MSS,2,67.31,17.4625,1.5,0.19,1,9,2.197224577,0.693917526,-0.365402164
FI.MS5,5,finner,Invaded,MSS,5,56.1975,16.51,1.1,0.13,1,22,3.091042453,0.57935567,-0.545838707
FI.IS1,1,finner,Invaded,ISS,6,55.88,15.875,0.9,0.19,2,21,3.044522438,0.576082474,-0.551504444
FI.IS2,2,finner,Invaded,ISS,5,73.025,14.9225,1.65,0.19,1,8,2.079441542,0.752835052,-0.28390913
FI.IS3,3,finner,Invaded,ISS,7,77.47,19.05,2.02,0.49,1,26,3.258096538,0.798659794,-0.224820214
FI.IS4,4,finner,Invaded,ISS,0,22.86,5.715,0.06,0,1,7,1.945910149,0.235670103,-1.44532232
FI.IS5,5,finner,Invaded,ISS,5,53.975,17.145,1.61,0.37,2,12,2.48490665,0.556443299,-0.586190002
ESUI.MS1,1,el.salto,Non-invaded,MSS,3,25.4,14.605,0.2,0.09,1,39,3.663561646,0.26185567,-1.339961804
ESUI.MS2,2,el.salto,Non-invaded,MSS,1,41.91,15.24,0.32,0.05,1,35,3.555348061,0.432061856,-0.839186517
ESUI.MS3,3,el.salto,Non-invaded,MSS,0,24.13,5.715,0,0,1,50,3.912023005,0.248762887,-1.391255099
ESUI.MS4,4,el.salto,Non-invaded,MSS,0,22.86,13.335,0,0,1,41,3.713572067,0.235670103,-1.44532232
ESUI.MS5,5,el.salto,Non-invaded,MSS,0,24.13,15.875,0,0,1,57,4.043051268,0.248762887,-1.391255099
ESUI.IS1,1,el.salto,Non-invaded,ISS,2,27.94,12.065,0.05,0,1,7,1.945910149,0.288041237,-1.244651625
ESUI.IS2,2,el.salto,Non-invaded,ISS,4,28.2575,14.2875,0.11,0,1,23,3.135494216,0.291314433,-1.233352069
ESUI.IS3,3,el.salto,Non-invaded,ISS,4,22.225,8.89,0.08,0,1,6,1.791759469,0.229123711,-1.473493197
ESUI.IS4,4,el.salto,Non-invaded,ISS,0,15.5575,9.525,0,0,1,16,2.772588722,0.160386598,-1.830168141
ESUI.IS5,5,el.salto,Non-invaded,ISS,0,21.59,8.255,0,0,1,3,1.098612289,0.22257732,-1.502480734
NCUI.MS1,1,north.cuates,Non-invaded,MSS,1,NA,NA,NA,NA,NA,1,NA,NA,NA
NCUI.MS2,2,north.cuates,Non-invaded,MSS,4,15.24,8.255,0,0,1,26,3.258096538,0.157113402,-1.850787428
NCUI.MS3,3,north.cuates,Non-invaded,MSS,0,9.5,3.175,0,0,1,19,2.944438979,0.097938144,-2.32341918
NCUI.MS4,4,north.cuates,Non-invaded,MSS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCUI.MS5,5,north.cuates,Non-invaded,MSS,2,13.6525,12.7,0,0,1,9,2.197224577,0.140747423,-1.960788323
NCUI.IS1,1,north.cuates,Non-invaded,ISS,6,29.21,7.3025,0.13,0,1,12,2.48490665,0.301134021,-1.200199862
NCUI.IS2,2,north.cuates,Non-invaded,ISS,2,33.02,14.9225,0.13,0,1,8,2.079441542,0.340412371,-1.07759754
NCUI.IS3,3,north.cuates,Non-invaded,ISS,4,20.955,12.3825,0.07,0,1,13,2.564949357,0.216030928,-1.532333697
NCUI.IS4,4,north.cuates,Non-invaded,ISS,1,18.415,7.3025,0.07,0,1,2,0.693147181,0.189845361,-1.661545429
NCUI.IS5,5,north.cuates,Non-invaded,ISS,0,8.5,6.6675,0,0,1,12,2.48490665,0.087628866,-2.434644815
FUI.MS1,1,finner,Non-invaded,MSS,2,27.94,5.08,0.1,0,1,8,2.079441542,0.288041237,-1.244651625
FUI.MS2,2,finner,Non-invaded,MSS,2,30.48,12.3825,0.16,0,1,5,1.609437912,0.314226804,-1.157640248
FUI.MS3,3,finner,Non-invaded,MSS,9,30.48,17.145,0.11,0,1,27,3.295836866,0.314226804,-1.157640248
FUI.MS4,4,finner,Non-invaded,MSS,6,26.035,7.62,0.09,0,1,19,2.944438979,0.268402062,-1.315269192
FUI.MS5,5,finner,Non-invaded,MSS,0,11.43,4.445,0,0,1,1,0,0.117835052,-2.138469501
FUI.IS1,1,finner,Non-invaded,ISS,1,5.3975,3.81,0,0,1,1,0,0.05564433,-2.888775095
FUI.IS2,2,finner,Non-invaded,ISS,0,21.59,11.7475,0,0,1,4,1.386294361,0.22257732,-1.502480734
FUI.IS3,3,finner,Non-invaded,ISS,0,15.5575,4.445,0,0,1,1,0,0.160386598,-1.830168141
FUI.IS4,4,finner,Non-invaded,ISS,0,24.765,6.985,0.07,0,1,9,2.197224577,0.255309278,-1.365279612
FUI.IS5,5,finner,Non-invaded,ISS,1,NA,NA,NA,NA,NA,1,NA,NA,NA