sample,replicate,pasture,invasion,soil.treatment,week,height,log.height
ESI.MS1,1,el.salto,Invaded,MSS,week1,15.875,2.764745545
ESI.MS2,2,el.salto,Invaded,MSS,week1,13.97,2.636912173
ESI.MS3,3,el.salto,Invaded,MSS,week1,33.655,3.516161633
ESI.MS4,4,el.salto,Invaded,MSS,week1,43.18,3.765377425
ESI.MS5,5,el.salto,Invaded,MSS,week1,53.6575,3.982621254
ESI.IS1,1,el.salto,Invaded,ISS,week1,22.225,3.101217781
ESI.IS2,2,el.salto,Invaded,ISS,week1,22.225,3.101217781
ESI.IS3,3,el.salto,Invaded,ISS,week1,53.975,3.988520976
ESI.IS4,4,el.salto,Invaded,ISS,week1,40.005,3.689004446
ESI.IS5,5,el.salto,Invaded,ISS,week1,12.7,2.541601993
NCI.MS1,1,north.cuates,Invaded,MSS,week1,20.32,3.011605623
NCI.MS2,2,north.cuates,Invaded,MSS,week1,53.975,3.988520976
NCI.MS3,3,north.cuates,Invaded,MSS,week1,52.705,3.964710328
NCI.MS4,4,north.cuates,Invaded,MSS,week1,59.055,4.078469213
NCI.MS5,5,north.cuates,Invaded,MSS,week1,50.8,3.927896355
NCI.IS1,1,north.cuates,Invaded,ISS,week1,45.085,3.808549597
NCI.IS2,2,north.cuates,Invaded,ISS,week1,50.165,3.915317572
NCI.IS3,3,north.cuates,Invaded,ISS,week1,36.83,3.60631273
NCI.IS4,4,north.cuates,Invaded,ISS,week1,17.145,2.841706586
NCI.IS5,5,north.cuates,Invaded,ISS,week1,38.1,3.640214282
FI.MS1,1,finner,Invaded,MSS,week1,17.78,2.87807423
FI.MS2,2,finner,Invaded,MSS,week1,44.45,3.794364962
FI.MS3,3,finner,Invaded,MSS,week1,59.69,4.089164502
FI.MS4,4,finner,Invaded,MSS,week1,66.04,4.190260619
FI.MS5,5,finner,Invaded,MSS,week1,54.61,4.000217016
FI.IS1,1,finner,Invaded,ISS,week1,48.26,3.87660306
FI.IS2,2,finner,Invaded,ISS,week1,61.595,4.120580698
FI.IS3,3,finner,Invaded,ISS,week1,65.405,4.180598708
FI.IS4,4,finner,Invaded,ISS,week1,17.78,2.87807423
FI.IS5,5,finner,Invaded,ISS,week1,57.785,4.056729226
ESUI.MS1,1,el.salto,Uninvaded,MSS,week1,27.305,3.307069836
ESUI.MS2,2,el.salto,Uninvaded,MSS,week1,36.83,3.60631273
ESUI.MS3,3,el.salto,Uninvaded,MSS,week1,17.78,2.87807423
ESUI.MS4,4,el.salto,Uninvaded,MSS,week1,15.24,2.72392355
ESUI.MS5,5,el.salto,Uninvaded,MSS,week1,12.7,2.541601993
ESUI.IS1,1,el.salto,Uninvaded,ISS,week1,20.32,3.011605623
ESUI.IS2,2,el.salto,Uninvaded,ISS,week1,24.13,3.18345588
ESUI.IS3,3,el.salto,Uninvaded,ISS,week1,21.59,3.072230245
ESUI.IS4,4,el.salto,Uninvaded,ISS,week1,12.7,2.541601993
ESUI.IS5,5,el.salto,Uninvaded,ISS,week1,17.78,2.87807423
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week1,10.16,2.318458442
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week1,2.54,0.932164081
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week1,26.67,3.283539338
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week1,26.035,3.259441787
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week1,18.415,2.91316555
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week1,20.32,3.011605623
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week1,6.985,1.943764993
FUI.MS1,1,finner,Uninvaded,MSS,week1,15.875,2.764745545
FUI.MS2,2,finner,Uninvaded,MSS,week1,25.4,3.234749174
FUI.MS3,3,finner,Uninvaded,MSS,week1,23.495,3.156787633
FUI.MS4,4,finner,Uninvaded,MSS,week1,22.225,3.101217781
FUI.MS5,5,finner,Uninvaded,MSS,week1,8.89,2.18492705
FUI.IS2,2,finner,Uninvaded,ISS,week1,14.605,2.681363936
FUI.IS3,3,finner,Uninvaded,ISS,week1,13.335,2.590392158
FUI.IS4,4,finner,Uninvaded,ISS,week1,18.415,2.91316555
ESI.MS1,1,el.salto,Invaded,MSS,week2,16.51,2.803966258
ESI.MS2,2,el.salto,Invaded,MSS,week2,17.145,2.841706586
ESI.MS3,3,el.salto,Invaded,MSS,week2,37.465,3.623407164
ESI.MS4,4,el.salto,Invaded,MSS,week2,48.895,3.889675142
ESI.MS5,5,el.salto,Invaded,MSS,week2,55.245,4.011777839
ESI.IS1,1,el.salto,Invaded,ISS,week2,22.86,3.129388658
ESI.IS2,2,el.salto,Invaded,ISS,week2,29.845,3.396017322
ESI.IS3,3,el.salto,Invaded,ISS,week2,54.61,4.000217016
ESI.IS4,4,el.salto,Invaded,ISS,week2,44.45,3.794364962
ESI.IS5,5,el.salto,Invaded,ISS,week2,16.51,2.803966258
NCI.MS1,1,north.cuates,Invaded,MSS,week2,20.955,3.042377281
NCI.MS2,2,north.cuates,Invaded,MSS,week2,53.34,3.976686519
NCI.MS3,3,north.cuates,Invaded,MSS,week2,60.325,4.099746612
NCI.MS4,4,north.cuates,Invaded,MSS,week2,58.42,4.067658297
NCI.MS5,5,north.cuates,Invaded,MSS,week2,53.6575,3.982621254
NCI.IS1,1,north.cuates,Invaded,ISS,week2,48.26,3.87660306
NCI.IS2,2,north.cuates,Invaded,ISS,week2,52.705,3.964710328
NCI.IS3,3,north.cuates,Invaded,ISS,week2,40.005,3.689004446
NCI.IS4,4,north.cuates,Invaded,ISS,week2,18.415,2.91316555
NCI.IS5,5,north.cuates,Invaded,ISS,week2,38.735,3.656743584
FI.MS1,1,finner,Invaded,MSS,week2,21.59,3.072230245
FI.MS2,2,finner,Invaded,MSS,week2,51.435,3.940318875
FI.MS3,3,finner,Invaded,MSS,week2,63.5,4.151039906
FI.MS4,4,finner,Invaded,MSS,week2,63.5,4.151039906
FI.MS5,5,finner,Invaded,MSS,week2,57.785,4.056729226
FI.IS1,1,finner,Invaded,ISS,week2,50.165,3.915317572
FI.IS2,2,finner,Invaded,ISS,week2,63.5,4.151039906
FI.IS3,3,finner,Invaded,ISS,week2,67.31,4.209308814
FI.IS4,4,finner,Invaded,ISS,week2,22.225,3.101217781
FI.IS5,5,finner,Invaded,ISS,week2,60.325,4.099746612
ESUI.MS1,1,el.salto,Uninvaded,MSS,week2,31.75,3.457892725
ESUI.MS2,2,el.salto,Uninvaded,MSS,week2,40.005,3.689004446
ESUI.MS3,3,el.salto,Uninvaded,MSS,week2,19.685,2.979856924
ESUI.MS4,4,el.salto,Uninvaded,MSS,week2,18.415,2.91316555
ESUI.MS5,5,el.salto,Uninvaded,MSS,week2,17.78,2.87807423
ESUI.IS1,1,el.salto,Uninvaded,ISS,week2,20.955,3.042377281
ESUI.IS2,2,el.salto,Uninvaded,ISS,week2,26.035,3.259441787
ESUI.IS3,3,el.salto,Uninvaded,ISS,week2,23.495,3.156787633
ESUI.IS4,4,el.salto,Uninvaded,ISS,week2,14.605,2.681363936
ESUI.IS5,5,el.salto,Uninvaded,ISS,week2,20.32,3.011605623
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week2,10.795,2.379083064
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week2,9.525,2.253919921
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week2,12.7,2.541601993
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week2,28.575,3.35253221
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week2,27.94,3.330059354
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week2,19.685,2.979856924
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week2,20.32,3.011605623
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week2,8.89,2.18492705
FUI.MS1,1,finner,Uninvaded,MSS,week2,20.32,3.011605623
FUI.MS2,2,finner,Uninvaded,MSS,week2,26.035,3.259441787
FUI.MS3,3,finner,Uninvaded,MSS,week2,24.13,3.18345588
FUI.MS4,4,finner,Uninvaded,MSS,week2,22.225,3.101217781
FUI.MS5,5,finner,Uninvaded,MSS,week2,9.525,2.253919921
FUI.IS1,1,finner,Uninvaded,ISS,week2,13.335,2.590392158
FUI.IS2,2,finner,Uninvaded,ISS,week2,14.605,2.681363936
FUI.IS3,3,finner,Uninvaded,ISS,week2,13.97,2.636912173
FUI.IS4,4,finner,Uninvaded,ISS,week2,22.86,3.129388658
ESI.MS1,1,el.salto,Invaded,MSS,week3,20.32,3.011605623
ESI.MS2,2,el.salto,Invaded,MSS,week3,18.0975,2.895773807
ESI.MS3,3,el.salto,Invaded,MSS,week3,38.735,3.656743584
ESI.MS4,4,el.salto,Invaded,MSS,week3,48.895,3.889675142
ESI.MS5,5,el.salto,Invaded,MSS,week3,56.1975,4.028872272
ESI.IS1,1,el.salto,Invaded,ISS,week3,24.765,3.209431366
ESI.IS2,2,el.salto,Invaded,ISS,week3,32.385,3.477695353
ESI.IS3,3,el.salto,Invaded,ISS,week3,54.2925,3.994386096
ESI.IS4,4,el.salto,Invaded,ISS,week3,44.1325,3.787196472
ESI.IS5,5,el.salto,Invaded,ISS,week3,17.145,2.841706586
NCI.MS1,1,north.cuates,Invaded,MSS,week3,20.6375,3.027109809
NCI.MS2,2,north.cuates,Invaded,MSS,week3,53.975,3.988520976
NCI.MS3,3,north.cuates,Invaded,MSS,week3,60.325,4.099746612
NCI.MS4,4,north.cuates,Invaded,MSS,week3,65.405,4.180598708
NCI.MS5,5,north.cuates,Invaded,MSS,week3,53.975,3.988520976
NCI.IS1,1,north.cuates,Invaded,ISS,week3,49.53,3.902578547
NCI.IS2,2,north.cuates,Invaded,ISS,week3,54.61,4.000217016
NCI.IS3,3,north.cuates,Invaded,ISS,week3,40.005,3.689004446
NCI.IS4,4,north.cuates,Invaded,ISS,week3,19.685,2.979856924
NCI.IS5,5,north.cuates,Invaded,ISS,week3,39.0525,3.664906895
FI.MS1,1,finner,Invaded,MSS,week3,25.4,3.234749174
FI.MS2,2,finner,Invaded,MSS,week3,51.435,3.940318875
FI.MS3,3,finner,Invaded,MSS,week3,66.04,4.190260619
FI.MS4,4,finner,Invaded,MSS,week3,65.405,4.180598708
FI.MS5,5,finner,Invaded,MSS,week3,57.785,4.056729226
FI.IS1,1,finner,Invaded,ISS,week3,55.5625,4.017508513
FI.IS2,2,finner,Invaded,ISS,week3,65.7225,4.185441333
FI.IS3,3,finner,Invaded,ISS,week3,72.39,4.282068168
FI.IS4,4,finner,Invaded,ISS,week3,22.86,3.129388658
FI.IS5,5,finner,Invaded,ISS,week3,60.6425,4.104995967
ESUI.MS1,1,el.salto,Uninvaded,MSS,week3,31.75,3.457892725
ESUI.MS2,2,el.salto,Uninvaded,MSS,week3,40.005,3.689004446
ESUI.MS3,3,el.salto,Uninvaded,MSS,week3,23.1775,3.14318198
ESUI.MS4,4,el.salto,Uninvaded,MSS,week3,19.05,2.947067102
ESUI.MS5,5,el.salto,Uninvaded,MSS,week3,20.32,3.011605623
ESUI.IS1,1,el.salto,Uninvaded,ISS,week3,23.1775,3.14318198
ESUI.IS2,2,el.salto,Uninvaded,ISS,week3,29.21,3.374511116
ESUI.IS3,3,el.salto,Uninvaded,ISS,week3,24.13,3.18345588
ESUI.IS4,4,el.salto,Uninvaded,ISS,week3,15.875,2.764745545
ESUI.IS5,5,el.salto,Uninvaded,ISS,week3,20.6375,3.027109809
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week3,11.43,2.436241478
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week3,7.62,2.03077637
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week3,12.7,2.541601993
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week3,28.575,3.35253221
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week3,30.48,3.417070731
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week3,20.6375,3.027109809
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week3,20.6375,3.027109809
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week3,8.89,2.18492705
FUI.MS1,1,finner,Uninvaded,MSS,week3,20.6375,3.027109809
FUI.MS2,2,finner,Uninvaded,MSS,week3,26.035,3.259441787
FUI.MS3,3,finner,Uninvaded,MSS,week3,24.765,3.209431366
FUI.MS4,4,finner,Uninvaded,MSS,week3,24.13,3.18345588
FUI.MS5,5,finner,Uninvaded,MSS,week3,10.16,2.318458442
FUI.IS1,1,finner,Uninvaded,ISS,week3,13.335,2.590392158
FUI.IS2,2,finner,Uninvaded,ISS,week3,16.1925,2.784548172
FUI.IS3,3,finner,Uninvaded,ISS,week3,15.5575,2.744542837
FUI.IS4,4,finner,Uninvaded,ISS,week3,22.86,3.129388658
ESI.MS1,1,el.salto,Invaded,MSS,week4,22.5425,3.115402416
ESI.MS2,2,el.salto,Invaded,MSS,week4,19.05,2.947067102
ESI.MS3,3,el.salto,Invaded,MSS,week4,40.9575,3.712534944
ESI.MS4,4,el.salto,Invaded,MSS,week4,49.2125,3.896147656
ESI.MS5,5,el.salto,Invaded,MSS,week4,59.69,4.089164502
ESI.IS1,1,el.salto,Invaded,ISS,week4,25.4,3.234749174
ESI.IS2,2,el.salto,Invaded,ISS,week4,33.02,3.497113438
ESI.IS3,3,el.salto,Invaded,ISS,week4,53.975,3.988520976
ESI.IS4,4,el.salto,Invaded,ISS,week4,44.45,3.794364962
ESI.IS5,5,el.salto,Invaded,ISS,week4,17.4625,2.860055725
NCI.MS1,1,north.cuates,Invaded,MSS,week4,19.685,2.979856924
NCI.MS2,2,north.cuates,Invaded,MSS,week4,58.7375,4.073078364
NCI.MS3,3,north.cuates,Invaded,MSS,week4,60.325,4.099746612
NCI.MS4,4,north.cuates,Invaded,MSS,week4,66.04,4.190260619
NCI.MS5,5,north.cuates,Invaded,MSS,week4,58.1025,4.062208692
NCI.IS1,1,north.cuates,Invaded,ISS,week4,50.165,3.915317572
NCI.IS2,2,north.cuates,Invaded,ISS,week4,54.61,4.000217016
NCI.IS3,3,north.cuates,Invaded,ISS,week4,40.9575,3.712534944
NCI.IS4,4,north.cuates,Invaded,ISS,week4,20.955,3.042377281
NCI.IS5,5,north.cuates,Invaded,ISS,week4,39.0525,3.664906895
FI.MS1,1,finner,Invaded,MSS,week4,27.94,3.330059354
FI.MS2,2,finner,Invaded,MSS,week4,50.8,3.927896355
FI.MS3,3,finner,Invaded,MSS,week4,65.7225,4.185441333
FI.MS4,4,finner,Invaded,MSS,week4,65.0875,4.175732518
FI.MS5,5,finner,Invaded,MSS,week4,57.785,4.056729226
FI.IS1,1,finner,Invaded,ISS,week4,53.0225,3.970716352
FI.IS2,2,finner,Invaded,ISS,week4,70.1675,4.250885241
FI.IS3,3,finner,Invaded,ISS,week4,75.565,4.324993213
FI.IS4,4,finner,Invaded,ISS,week4,23.1775,3.14318198
FI.IS5,5,finner,Invaded,ISS,week4,60.325,4.099746612
ESUI.MS1,1,el.salto,Uninvaded,MSS,week4,31.75,3.457892725
ESUI.MS2,2,el.salto,Uninvaded,MSS,week4,39.6875,3.681036277
ESUI.MS3,3,el.salto,Uninvaded,MSS,week4,24.13,3.18345588
ESUI.MS4,4,el.salto,Uninvaded,MSS,week4,20.32,3.011605623
ESUI.MS5,5,el.salto,Uninvaded,MSS,week4,20.32,3.011605623
ESUI.IS1,1,el.salto,Uninvaded,ISS,week4,25.4,3.234749174
ESUI.IS2,2,el.salto,Uninvaded,ISS,week4,29.21,3.374511116
ESUI.IS3,3,el.salto,Uninvaded,ISS,week4,24.13,3.18345588
ESUI.IS4,4,el.salto,Uninvaded,ISS,week4,16.1925,2.784548172
ESUI.IS5,5,el.salto,Uninvaded,ISS,week4,20.955,3.042377281
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week4,13.0175,2.566294606
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week4,9.8425,2.286709744
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week4,13.335,2.590392158
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week4,28.575,3.35253221
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week4,31.115,3.437690018
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week4,20.955,3.042377281
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week4,20.955,3.042377281
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week4,9.2075,2.220018369
FUI.MS1,1,finner,Uninvaded,MSS,week4,21.9075,3.086829044
FUI.MS2,2,finner,Uninvaded,MSS,week4,26.9875,3.295373796
FUI.MS3,3,finner,Uninvaded,MSS,week4,24.13,3.18345588
FUI.MS4,4,finner,Uninvaded,MSS,week4,24.13,3.18345588
FUI.MS5,5,finner,Uninvaded,MSS,week4,11.43,2.436241478
FUI.IS1,1,finner,Uninvaded,ISS,week4,10.16,2.318458442
FUI.IS2,2,finner,Uninvaded,ISS,week4,18.7325,2.930259983
FUI.IS3,3,finner,Uninvaded,ISS,week4,15.875,2.764745545
FUI.IS4,4,finner,Uninvaded,ISS,week4,24.13,3.18345588
ESI.MS1,1,el.salto,Invaded,MSS,week5,26.3525,3.271563147
ESI.MS2,2,el.salto,Invaded,MSS,week5,19.685,2.979856924
ESI.MS3,3,el.salto,Invaded,MSS,week5,40.3225,3.696909626
ESI.MS4,4,el.salto,Invaded,MSS,week5,50.4825,3.921626742
ESI.MS5,5,el.salto,Invaded,MSS,week5,59.3725,4.083831156
ESI.IS1,1,el.salto,Invaded,ISS,week5,24.765,3.209431366
ESI.IS2,2,el.salto,Invaded,ISS,week5,38.4175,3.648513085
ESI.IS3,3,el.salto,Invaded,ISS,week5,52.07,3.952588967
ESI.IS4,4,el.salto,Invaded,ISS,week5,44.45,3.794364962
ESI.IS5,5,el.salto,Invaded,ISS,week5,16.51,2.803966258
NCI.MS1,1,north.cuates,Invaded,MSS,week5,20.6375,3.027109809
NCI.MS2,2,north.cuates,Invaded,MSS,week5,59.69,4.089164502
NCI.MS3,3,north.cuates,Invaded,MSS,week5,58.7375,4.073078364
NCI.MS4,4,north.cuates,Invaded,MSS,week5,66.04,4.190260619
NCI.MS5,5,north.cuates,Invaded,MSS,week5,59.3725,4.083831156
NCI.IS1,1,north.cuates,Invaded,ISS,week5,49.8475,3.908968345
NCI.IS2,2,north.cuates,Invaded,ISS,week5,53.0225,3.970716352
NCI.IS3,3,north.cuates,Invaded,ISS,week5,41.91,3.735524462
NCI.IS4,4,north.cuates,Invaded,ISS,week5,20.6375,3.027109809
NCI.IS5,5,north.cuates,Invaded,ISS,week5,39.6875,3.681036277
FI.MS1,1,finner,Invaded,MSS,week5,30.7975,3.427433518
FI.MS2,2,finner,Invaded,MSS,week5,49.8475,3.908968345
FI.MS3,3,finner,Invaded,MSS,week5,65.7225,4.185441333
FI.MS4,4,finner,Invaded,MSS,week5,67.31,4.209308814
FI.MS5,5,finner,Invaded,MSS,week5,55.88,4.023206534
FI.IS1,1,finner,Invaded,ISS,week5,55.5625,4.017508513
FI.IS2,2,finner,Invaded,ISS,week5,72.39,4.282068168
FI.IS3,3,finner,Invaded,ISS,week5,75.565,4.324993213
FI.IS4,4,finner,Invaded,ISS,week5,22.86,3.129388658
FI.IS5,5,finner,Invaded,ISS,week5,58.42,4.067658297
ESUI.MS1,1,el.salto,Uninvaded,MSS,week5,26.3525,3.271563147
ESUI.MS2,2,el.salto,Uninvaded,MSS,week5,41.91,3.735524462
ESUI.MS3,3,el.salto,Uninvaded,MSS,week5,23.8125,3.170210653
ESUI.MS4,4,el.salto,Uninvaded,MSS,week5,22.225,3.101217781
ESUI.MS5,5,el.salto,Uninvaded,MSS,week5,23.8125,3.170210653
ESUI.IS1,1,el.salto,Uninvaded,ISS,week5,27.305,3.307069836
ESUI.IS2,2,el.salto,Uninvaded,ISS,week5,28.575,3.35253221
ESUI.IS3,3,el.salto,Uninvaded,ISS,week5,23.1775,3.14318198
ESUI.IS4,4,el.salto,Uninvaded,ISS,week5,15.24,2.72392355
ESUI.IS5,5,el.salto,Uninvaded,ISS,week5,20.6375,3.027109809
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week5,12.7,2.541601993
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week5,9.525,2.253919921
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week5,13.335,2.590392158
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week5,28.8925,3.363582046
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week5,31.115,3.437690018
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week5,20.6375,3.027109809
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week5,18.7325,2.930259983
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week5,9.525,2.253919921
FUI.MS1,1,finner,Uninvaded,MSS,week5,26.67,3.283539338
FUI.MS2,2,finner,Uninvaded,MSS,week5,28.8925,3.363582046
FUI.MS3,3,finner,Uninvaded,MSS,week5,28.575,3.35253221
FUI.MS4,4,finner,Uninvaded,MSS,week5,24.765,3.209431366
FUI.MS5,5,finner,Uninvaded,MSS,week5,11.1125,2.408070601
FUI.IS1,1,finner,Uninvaded,ISS,week5,2.8575,1.049947117
FUI.IS2,2,finner,Uninvaded,ISS,week5,20.6375,3.027109809
FUI.IS3,3,finner,Uninvaded,ISS,week5,15.24,2.72392355
FUI.IS4,4,finner,Uninvaded,ISS,week5,24.13,3.18345588
ESI.MS1,1,el.salto,Invaded,MSS,week6,26.035,3.259441787
ESI.MS2,2,el.salto,Invaded,MSS,week6,20.32,3.011605623
ESI.MS3,3,el.salto,Invaded,MSS,week6,40.005,3.689004446
ESI.MS4,4,el.salto,Invaded,MSS,week6,50.8,3.927896355
ESI.MS5,5,el.salto,Invaded,MSS,week6,59.055,4.078469213
ESI.IS1,1,el.salto,Invaded,ISS,week6,24.4475,3.196527961
ESI.IS2,2,el.salto,Invaded,ISS,week6,38.735,3.656743584
ESI.IS3,3,el.salto,Invaded,ISS,week6,52.07,3.952588967
ESI.IS4,4,el.salto,Invaded,ISS,week6,43.18,3.765377425
ESI.IS5,5,el.salto,Invaded,ISS,week6,17.145,2.841706586
NCI.MS1,1,north.cuates,Invaded,MSS,week6,20.32,3.011605623
NCI.MS2,2,north.cuates,Invaded,MSS,week6,61.595,4.120580698
NCI.MS3,3,north.cuates,Invaded,MSS,week6,60.325,4.099746612
NCI.MS4,4,north.cuates,Invaded,MSS,week6,67.31,4.209308814
NCI.MS5,5,north.cuates,Invaded,MSS,week6,60.0075,4.094469554
NCI.IS1,1,north.cuates,Invaded,ISS,week6,49.53,3.902578547
NCI.IS2,2,north.cuates,Invaded,ISS,week6,53.34,3.976686519
NCI.IS3,3,north.cuates,Invaded,ISS,week6,42.545,3.750562339
NCI.IS4,4,north.cuates,Invaded,ISS,week6,20.6375,3.027109809
NCI.IS5,5,north.cuates,Invaded,ISS,week6,38.1,3.640214282
FI.MS1,1,finner,Invaded,MSS,week6,31.115,3.437690018
FI.MS2,2,finner,Invaded,MSS,week6,48.26,3.87660306
FI.MS3,3,finner,Invaded,MSS,week6,65.405,4.180598708
FI.MS4,4,finner,Invaded,MSS,week6,67.31,4.209308814
FI.MS5,5,finner,Invaded,MSS,week6,56.1975,4.028872272
FI.IS1,1,finner,Invaded,ISS,week6,55.88,4.023206534
FI.IS2,2,finner,Invaded,ISS,week6,73.025,4.290801848
FI.IS3,3,finner,Invaded,ISS,week6,77.47,4.349890765
FI.IS4,4,finner,Invaded,ISS,week6,22.86,3.129388658
FI.IS5,5,finner,Invaded,ISS,week6,53.975,3.988520976
ESUI.MS1,1,el.salto,Uninvaded,MSS,week6,25.4,3.234749174
ESUI.MS2,2,el.salto,Uninvaded,MSS,week6,41.91,3.735524462
ESUI.MS3,3,el.salto,Uninvaded,MSS,week6,24.13,3.18345588
ESUI.MS4,4,el.salto,Uninvaded,MSS,week6,22.86,3.129388658
ESUI.MS5,5,el.salto,Uninvaded,MSS,week6,24.13,3.18345588
ESUI.IS1,1,el.salto,Uninvaded,ISS,week6,27.94,3.330059354
ESUI.IS2,2,el.salto,Uninvaded,ISS,week6,28.2575,3.341358909
ESUI.IS3,3,el.salto,Uninvaded,ISS,week6,22.225,3.101217781
ESUI.IS4,4,el.salto,Uninvaded,ISS,week6,15.5575,2.744542837
ESUI.IS5,5,el.salto,Uninvaded,ISS,week6,21.59,3.072230245
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week6,15.24,2.72392355
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week6,9.5,2.251291799
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week6,13.6525,2.613922655
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week6,29.21,3.374511116
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week6,33.02,3.497113438
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week6,20.955,3.042377281
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week6,18.415,2.91316555
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week6,8.5,2.140066163
FUI.MS1,1,finner,Uninvaded,MSS,week6,27.94,3.330059354
FUI.MS2,2,finner,Uninvaded,MSS,week6,30.48,3.417070731
FUI.MS3,3,finner,Uninvaded,MSS,week6,30.48,3.417070731
FUI.MS4,4,finner,Uninvaded,MSS,week6,26.035,3.259441787
FUI.MS5,5,finner,Uninvaded,MSS,week6,11.43,2.436241478
FUI.IS1,1,finner,Uninvaded,ISS,week6,5.3975,1.685935883
FUI.IS2,2,finner,Uninvaded,ISS,week6,21.59,3.072230245
FUI.IS3,3,finner,Uninvaded,ISS,week6,15.5575,2.744542837
FUI.IS4,4,finner,Uninvaded,ISS,week6,24.765,3.209431366