sample,soil.treatment,invasion,pasture,monocot.abundance,monocot.richness,dicot.abundance,dicot.richness,dry.weight.g,seedling.total,log.seedling.total
ESI.IS1,ISS,Invaded,el.salto,1,1,46,6,1.5,41,3.713572067
ESI.IS2,ISS,Invaded,el.salto,2,1,23,4,0.82,35,3.555348061
ESI.IS3,ISS,Invaded,el.salto,0,0,64,6,1.99,68,4.219507705
ESI.IS4,ISS,Invaded,el.salto,2,1,57,5,1.82,60,4.094344562
ESI.IS5,ISS,Invaded,el.salto,3,1,56,7,2.19,64,4.158883083
ESI.MS1,MSS,Invaded,el.salto,2,2,55,5,4.75,80,4.382026635
ESI.MS2,MSS,Invaded,el.salto,5,1,36,3,0.69,36,3.583518938
ESI.MS3,MSS,Invaded,el.salto,3,2,40,5,1.18,43,3.761200116
ESI.MS4,MSS,Invaded,el.salto,2,1,61,4,0.97,71,4.262679877
ESI.MS5,MSS,Invaded,el.salto,4,2,56,6,2.35,78,4.356708827
ESUI.IS1,ISS,Uninvaded,el.salto,6,2,48,3,0.52,90,4.49980967
ESUI.IS2,ISS,Uninvaded,el.salto,14,2,63,5,0.85,34,3.526360525
ESUI.IS3,ISS,Uninvaded,el.salto,6,2,79,6,1.01,72,4.276666119
ESUI.IS4,ISS,Uninvaded,el.salto,5,1,80,3,1.15,66,4.189654742
ESUI.IS5,ISS,Uninvaded,el.salto,13,1,73,4,0.7,58,4.060443011
ESUI.MS1,MSS,Uninvaded,el.salto,5,1,25,3,0.23,103,4.634728988
ESUI.MS2,MSS,Uninvaded,el.salto,10,2,14,3,0.18,125,4.828313737
ESUI.MS3,MSS,Uninvaded,el.salto,11,2,80,4,0.63,106,4.663439094
ESUI.MS4,MSS,Uninvaded,el.salto,11,2,56,5,0.84,63,4.143134726
ESUI.MS5,MSS,Uninvaded,el.salto,9,2,58,4,0.46,147,4.990432587
FI.IS1,ISS,Invaded,finner,0,0,22,3,1.75,94,4.543294782
FI.IS2,ISS,Invaded,finner,2,1,25,6,0.83,63,4.143134726
FI.IS3,ISS,Invaded,finner,0,0,17,5,0.79,57,4.043051268
FI.IS4,ISS,Invaded,finner,13,3,38,8,1.98,50,3.912023005
FI.IS5,ISS,Invaded,finner,2,1,36,6,0.83,62,4.127134385
FI.MS1,MSS,Invaded,finner,1,1,22,6,1.02,59,4.077537444
FI.MS2,MSS,Invaded,finner,0,0,39,5,1.11,66,4.189654742
FI.MS3,MSS,Invaded,finner,3,1,26,3,0.95,55,4.007333185
FI.MS4,MSS,Invaded,finner,3,1,43,5,1.1,65,4.17438727
FI.MS5,MSS,Invaded,finner,3,2,32,5,1.15,60,4.094344562
FUI.IS1,ISS,Uninvaded,finner,20,4,23,8,0.43,71,4.262679877
FUI.IS2,ISS,Uninvaded,finner,26,3,18,7,0.63,80,4.382026635
FUI.IS3,ISS,Uninvaded,finner,29,2,18,7,0.72,93,4.532599493
FUI.IS4,ISS,Uninvaded,finner,23,2,14,5,0.7,102,4.624972813
FUI.IS5,ISS,Uninvaded,finner,21,3,19,6,0.6,78,4.356708827
FUI.MS1,MSS,Uninvaded,finner,5,2,17,5,0.17,98,4.584967479
FUI.MS2,MSS,Uninvaded,finner,12,3,12,5,0.13,99,4.59511985
FUI.MS3,MSS,Uninvaded,finner,8,2,13,7,0.33,87,4.465908119
FUI.MS4,MSS,Uninvaded,finner,23,2,14,8,0.5,79,4.369447852
FUI.MS5,MSS,Uninvaded,finner,27,2,26,8,0.68,85,4.442651256
NCI.IS1,ISS,Invaded,north.cuates,15,2,16,4,1.26,39,3.663561646
NCI.IS2,ISS,Invaded,north.cuates,8,1,17,4,1.06,77,4.343805422
NCI.IS3,ISS,Invaded,north.cuates,13,2,24,6,1.41,77,4.343805422
NCI.IS4,ISS,Invaded,north.cuates,28,2,50,6,1.08,47,3.850147602
NCI.IS5,ISS,Invaded,north.cuates,33,2,40,5,1.1,75,4.317488114
NCI.MS1,MSS,Invaded,north.cuates,14,3,13,5,1.44,36,3.583518938
NCI.MS2,MSS,Invaded,north.cuates,16,3,3,3,0.73,25,3.218875825
NCI.MS3,MSS,Invaded,north.cuates,21,2,17,4,1.23,42,3.737669618
NCI.MS4,MSS,Invaded,north.cuates,14,2,17,5,1.22,22,3.091042453
NCI.MS5,MSS,Invaded,north.cuates,22,3,17,5,1.22,47,3.850147602
NCUI.IS1,ISS,Uninvaded,north.cuates,30,3,41,4,0.59,185,5.220355825
NCUI.IS2,ISS,Uninvaded,north.cuates,35,2,22,4,0.55,168,5.123963979
NCUI.IS3,ISS,Uninvaded,north.cuates,19,3,42,5,0.67,190,5.247024072
NCUI.IS4,ISS,Uninvaded,north.cuates,36,3,35,4,0.78,130,4.86753445
NCUI.IS5,ISS,Uninvaded,north.cuates,41,3,40,5,0.9,197,5.283203729
NCUI.MS1,MSS,Uninvaded,north.cuates,33,4,29,8,1.09,203,5.313205979
NCUI.MS2,MSS,Uninvaded,north.cuates,24,3,20,4,0.68,230,5.438079309
NCUI.MS3,MSS,Uninvaded,north.cuates,27,3,20,5,0.76,160,5.075173815
NCUI.MS4,MSS,Uninvaded,north.cuates,25,2,19,4,0.9,224,5.411646052
NCUI.MS5,MSS,Uninvaded,north.cuates,25,3,30,5,0.96,197,5.283203729